Stock,Date,Open,High,Low,Close,Adj Close,Volume
RYAAY,5/1/2023,95.830002,107.699997,92.989998,105.080002,105.080002,10127100
RYAAY,6/1/2023,105.089996,110.660004,102.540001,110.599998,110.599998,11015700
JBLU,7/1/2019,18.690001,19.83,18.48,19.23,19.23,88568100
JBLU,8/1/2019,19.33,19.76,16.530001,17.32,17.32,84388300
JBLU,9/1/2019,17.219999,17.530001,16.25,16.75,16.75,103271000
JBLU,10/1/2019,16.790001,19.6,15.87,19.299999,19.299999,132277000
JBLU,11/1/2019,19.35,19.93,18.6,19.27,19.27,66861000
JBLU,12/1/2019,19.26,19.49,18.4,18.719999,18.719999,87899200
JBLU,1/1/2020,18.9,21.190001,18.1,19.83,19.83,137336800
JBLU,2/1/2020,19.98,21.65,15.42,15.78,15.78,106852200
JBLU,3/1/2020,15.82,16.110001,6.61,8.95,8.95,370571300
JBLU,4/1/2020,8.3,10.38,7.22,9.74,9.74,307581500
JBLU,5/1/2020,9.16,11.8,7.34,10.07,10.07,339556300
JBLU,6/1/2020,10.14,15.62,9.89,10.9,10.9,497274400
JBLU,7/1/2020,11.32,11.56,9.72,10.34,10.34,258171400
JBLU,8/1/2020,10.24,12.34,9.81,11.52,11.52,194555100
JBLU,9/1/2020,11.34,13.28,10.93,11.33,11.33,175491000
JBLU,10/1/2020,11.51,13.54,10.95,11.97,11.97,209770800
JBLU,11/1/2020,11.97,16.15,11.68,15.09,15.09,177578200
JBLU,12/1/2020,15.46,16.35,13.86,14.54,14.54,247412300
JBLU,1/1/2021,14.65,16.030001,13.94,14.34,14.34,165621100
JBLU,2/1/2021,14.42,19.879999,14.05,18.43,18.43,178656200
JBLU,3/1/2021,19.059999,21.73,17,20.34,20.34,230495800
JBLU,4/1/2021,20.32,21.959999,18.77,20.360001,20.360001,155219300
JBLU,5/1/2021,20.360001,20.889999,18.32,20.1,20.1,115476800
JBLU,6/1/2021,20.27,20.59,16.620001,16.780001,16.780001,157343600
JBLU,7/1/2021,16.92,17.360001,13.93,14.79,14.79,180683100
JBLU,8/1/2021,14.86,15.86,13.96,15.13,15.13,145939400
JBLU,9/1/2021,15.21,16.559999,14.48,15.29,15.29,144702700
JBLU,10/1/2021,15.72,16.65,13.97,14.03,14.03,151798600
JBLU,11/1/2021,14.03,16.48,12.95,13.42,13.42,158866100
JBLU,12/1/2021,13.8,14.94,12.86,14.24,14.24,164620900
JBLU,1/1/2022,14.32,15.52,12.95,14.63,14.63,167781400
JBLU,2/1/2022,14.68,16.389999,13.96,15.27,15.27,143119900
JBLU,3/1/2022,15.09,15.26,11.37,14.95,14.95,208454600
JBLU,4/1/2022,15.02,15.19,10.88,11.01,11.01,298706500
JBLU,5/1/2022,11,11.48,9.22,10.74,10.74,218131500
JBLU,6/1/2022,10.81,10.93,7.99,8.37,8.37,219052500
JBLU,7/1/2022,8.43,8.94,7.87,8.42,8.42,203174800
JBLU,8/1/2022,8.45,9.35,7.79,7.79,7.79,249644600
JBLU,9/1/2022,7.75,8.54,6.52,6.63,6.63,270637100
JBLU,10/1/2022,6.67,8.05,6.21,8.04,8.04,267632400
JBLU,11/1/2022,8.17,8.35,7.32,7.96,7.96,189702600
JBLU,12/1/2022,7.92,8.07,6.18,6.48,6.48,207842000
JBLU,1/1/2023,6.64,8.82,6.4,8,8,193969300
JBLU,2/1/2023,7.95,9.35,7.87,8.3,8.3,149683500
JBLU,3/1/2023,8.31,8.67,6.46,7.28,7.28,192285300
JBLU,4/1/2023,7.14,7.3,6.7,7.14,7.14,170484900
JBLU,5/1/2023,7.04,7.27,6.68,6.83,6.83,206197800
JBLU,6/1/2023,6.83,8.95,6.77,8.86,8.86,264687800
SAVE,7/1/2019,48.23,55.209999,41.580002,42.43,40.28072,34920500
SAVE,8/1/2019,42.689999,43.290001,35.889999,37.540001,35.638424,17417700
SAVE,9/1/2019,36.900002,39.580002,34.529999,36.299999,34.461231,20730500
SAVE,10/1/2019,36.59,39.849998,32.970001,37.560001,35.65741,35420200
SAVE,11/1/2019,37.91,40.169998,37.049999,39.07,37.090923,15773500
SAVE,12/1/2019,39.93,41.790001,37.560001,40.310001,38.268105,23005300
SAVE,1/1/2020,40.700001,43.650002,38.330002,41.07,38.989609,26884800
SAVE,2/1/2020,41.25,47.5,27.98,28.450001,27.008873,36098900
SAVE,3/1/2020,28.360001,28.68,7.01,12.89,12.237061,139436300
SAVE,4/1/2020,11.66,16.49,10.08,15.02,14.259166,135482200
SAVE,5/1/2020,14.08,14.56,7.25,12.95,12.294023,471919600
SAVE,6/1/2020,13,25.940001,13,17.799999,16.898344,855504500
SAVE,7/1/2020,18.23,19.5,15.42,15.81,15.00915,316333500
SAVE,8/1/2020,15.74,19.549999,14.65,17.879999,16.974291,209834700
SAVE,9/1/2020,17.6,18.940001,15.06,16.1,15.284458,181131300
SAVE,10/1/2020,16.299999,18.700001,15.45,17.57,16.679996,202211400
SAVE,11/1/2020,17.52,23.540001,16.799999,22.629999,21.483679,185425400
